"bulan","stasiun_pengisian_bahanbakar","jenis_bahanbakar","jumlah_penjualan","penerimaan_pajak","periode_data"
"8","Pertamina","Pertalite","33509222","10052766600","2016"
"8","Pertamina","Pertamax","52850550","16888563417","2016"
"8","Pertamina","Pertamax Plus","2413000","865532573","2016"
"8","Pertamina","Pertamina Dex","2468000","873780207","2016"
"8","Pertamina","Dexlite","1094000","306795657","2016"
"8","Pertamina","Pertamax Racing","16000","25739130","2016"
"8","Pertamina","BBG","50246","429014716","2016"
"8","Pertamina","Pertamax Turbo","1508000","570417398","2016"
"8","Total","Performance 92","1354611","441755444","2016"
"8","Total","Performance 95","224000","97773496","2016"
"8","Total","Diesel","103346","36858014","2016"
"8","Shell","Diesel","2363265","828596475","2016"
"8","Shell","Super","19674332","6476185992","2016"
"8","Shell","Vpower","7892583","2955138712","2016"
"9","Pertamina","Bio Solar","50043698","11205843911","2016"
"9","Pertamina","Solar","21187430","6636557381","2016"
"9","Pertamina","Premium","93261395","26570465947","2016"
"9","Pertamina","Pertalite","42036000","12610800000","2016"
"9","Pertamina","Pertamax","51985545","16612184626","2016"
"9","Pertamina","Pertamax Plus","0","0","2016"
"9","Pertamina","Pertamina Dex","2826160","1004209153","2016"
"9","Pertamina","Dexlite","1092000","315730477","2016"
"9","Pertamina","Pertamax Racing","0","0","2016"
"9","Pertamina","BBG","40683","452751454","2016"
"9","Pertamina","Pertamax Turbo","5316000","2010834799","2016"
"9","Total","Performance 92","0","0","2016"
"9","Total","Performance 95","264000","0","2016"
"9","Total","Diesel","0","0","2016"
"9","Shell","Diesel","0","0","2016"
"9","Shell","Super","0","0","2016"
"9","Shell","Vpower","0","0","2016"
"10","Pertamina","Bio Solar","0","0","2016"
"10","Pertamina","Solar","0","0","2016"
"10","Pertamina","Premium","0","0","2016"
"10","Pertamina","Pertalite","0","0","2016"
"10","Pertamina","Pertamax","0","0","2016"
"10","Pertamina","Pertamax Plus","0","0","2016"
"10","Pertamina","Pertamina Dex","0","0","2016"
"10","Pertamina","Dexlite","0","0","2016"
"10","Pertamina","Pertamax Racing","0","0","2016"
"10","Pertamina","BBG","0","0","2016"
"10","Pertamina","Pertamax Turbo","0","0","2016"
"10","Total","Performance 92","0","0","2016"
"10","Total","Performance 95","0","0","2016"
"10","Total","Diesel","0","0","2016"
"10","Shell","Diesel","0","0","2016"
"10","Shell","Super","0","0","2016"
"10","Shell","Vpower","0","0","2016"
"11","Pertamina","Bio Solar","0","0","2016"
"11","Pertamina","Solar","0","0","2016"
"11","Pertamina","Premium","0","0","2016"
"11","Pertamina","Pertalite","0","0","2016"
"11","Pertamina","Pertamax","0","0","2016"
"11","Pertamina","Pertamax Plus","0","0","2016"
"11","Pertamina","Pertamina Dex","0","0","2016"
"11","Pertamina","Dexlite","0","0","2016"
"11","Pertamina","Pertamax Racing","0","0","2016"
"11","Pertamina","BBG","0","0","2016"
"11","Pertamina","Pertamax Turbo","0","0","2016"
"11","Total","Performance 92","0","0","2016"
"11","Total","Performance 95","0","0","2016"
"11","Total","Diesel","0","0","2016"
"11","Shell","Diesel","0","0","2016"
"11","Shell","Super","0","0","2016"
"11","Shell","Vpower","0","0","2016"
"12","Pertamina","Bio Solar","0","0","2016"
"12","Pertamina","Solar","0","0","2016"
"12","Pertamina","Premium","0","0","2016"
"12","Pertamina","Pertalite","0","0","2016"
"12","Pertamina","Pertamax","0","0","2016"
"12","Pertamina","Pertamax Plus","0","0","2016"
"12","Pertamina","Pertamina Dex","0","0","2016"
"12","Pertamina","Dexlite","0","0","2016"
"12","Pertamina","Pertamax Racing","0","0","2016"
"12","Pertamina","BBG","0","0","2016"
"12","Pertamina","Pertamax Turbo","0","0","2016"
"12","Total","Performance 92","0","0","2016"
"12","Total","Performance 95","0","0","2016"
"12","Total","Diesel","0","0","2016"
"12","Shell","Diesel","0","0","2016"
"12","Shell","Super","0","0","2016"
"12","Shell","Vpower","0","0","2016"
"1","Pertamina","Bio Solar","55232675","16813838145","2015"
"1","Pertamina","Solar","13531625","4631822667","2015"
"1","Pertamina","Premium","148118500","46128488066","2015"
"1","Pertamina","Pertalite","0","0","2015"
"1","Pertamina","Pertamax","35750000","13041124794","2015"
"1","Pertamina","Pertamax Plus","2516000","1018416074","2015"
"1","Pertamina","Pertamina Dex","1092000","495904877","2015"
"1","Pertamina","Dexlite","0","0","2015"
"1","Pertamina","Pertamax Racing","0","0","2015"
"1","Pertamina","BBG","89565","477756129","2015"
"1","Total","Performance 92","640000","233525282","2015"
"1","Total","Performance 95","120000","48700405","2015"
"1","Total","Diesel","80000","34174912","2015"
"2","Pertamina","Bio Solar","51144587","14627290854","2015"
"2","Pertamina","Solar","12785970","4008352739","2015"
"2","Pertamina","Premium","134949500","39572876021","2015"
"2","Pertamina","Pertalite","0","0","2015"
"2","Pertamina","Pertamax","31003000","10815453511","2015"
"2","Pertamina","Pertamax Plus","2476000","974183683","2015"
"2","Pertamina","Pertamina Dex","1294000","567757873","2015"
"2","Pertamina","Dexlite","0","0","2015"
"2","Pertamina","Pertamax Racing","0","0","2015"
"2","Pertamina","BBG","59006","442918628","2015"
"2","Total","Performance 92","952000","333766228","2015"
"2","Total","Performance 95","272000","105547283","2015"
"2","Total","Diesel","72000","29997737","2015"
"3","Pertamina","Bio Solar","2891443","810405285","2015"
"3","Pertamina","Solar","67709043","20702279551","2015"
"3","Pertamina","Premium","155615345","47398669009","2015"
"3","Pertamina","Pertalite","0","0","2015"
"3","Pertamina","Pertamax","35220850","12915035453","2015"
"3","Pertamina","Pertamax Plus","2816000","1181147599","2015"
"3","Pertamina","Pertamina Dex","1282385","649439420","2015"
"3","Pertamina","Dexlite","0","0","2015"
"3","Pertamina","Pertamax Racing","3640","7184000","2015"
"3","Pertamina","BBG","83176","445076146","2015"
"3","Total","Performance 92","688000","255539506","2015"
"3","Total","Performance 95","136000","57825456","2015"
"3","Total","Diesel","104000","49244536","2015"
"4","Pertamina","Bio Solar","0","0","2015"
"4","Pertamina","Solar","68395161","22209043864","2015"
"4","Pertamina","Premium","147693000","47736675599","2015"
"4","Pertamina","Pertalite","0","0","2015"
"4","Pertamina","Pertamax","35111000","13128111248","2015"
"4","Pertamina","Pertamax Plus","2620000","1121966612","2015"
"4","Pertamina","Pertamina Dex","1140000","586385902","2015"
"4","Pertamina","Dexlite","0","0","2015"
"4","Pertamina","Pertamax Racing","3000","5217390","2015"
"4","Pertamina","BBG","65255","509274276","2015"
"4","Total","Performance 92","878240","332334160","2015"
"4","Total","Performance 95","164653","71017644","2015"
"4","Total","Diesel","80000","39373293","2015"
"5","Pertamina","Bio Solar","0","0","2015"
"5","Pertamina","Solar","72273043","23147610775","2015"
"5","Pertamina","Premium","152646150","49326967854","2015"
"5","Pertamina","Pertalite","0","0","2015"
"5","Pertamina","Pertamax","36533000","14027462958","2015"
"5","Pertamina","Pertamax Plus","2636000","1152945135","2015"
"5","Pertamina","Pertamina Dex","1263000","671090212","2015"
"5","Pertamina","Dexlite","0","0","2015"
"5","Pertamina","Pertamax Racing","3000","5217390","2015"
"5","Pertamina","BBG","65728","515380929","2015"
"5","Total","Performance 92","940625","363961644","2015"
"5","Total","Performance 95","213810","91670504","2015"
"5","Total","Diesel","124504","54659940","2015"
"6","Pertamina","Bio Solar","0","0","2015"
"6","Pertamina","Solar","72001262","22989207075","2015"
"6","Pertamina","Premium","148703275","48046611332","2015"
"6","Pertamina","Pertalite","0","0","2015"
"6","Pertamina","Pertamax","33405850","13504640346","2015"
"6","Pertamina","Pertamax Plus","2548000","1129862233","2015"
"6","Pertamina","Pertamina Dex","1069740","560391758","2015"
"6","Pertamina","Dexlite","0","0","2015"
"6","Pertamina","Pertamax Racing","0","0","2015"
"6","Pertamina","BBG","90851","540989819","2015"
"6","Total","Performance 92","696000","268013856","2015"
"6","Total","Performance 95","136000","62886884","2015"
"6","Total","Diesel","80000","41147432","2015"
"7","Pertamina","Bio Solar","0","0","2015"
"7","Pertamina","Solar","56980861","18180090363","2015"
"7","Pertamina","Premium","138688700","44837804282","2015"
"7","Pertamina","Pertalite","1448000","528834771","2015"
"7","Pertamina","Pertamax","32069000","12967049084","2015"
"7","Pertamina","Pertamax Plus","2308000","1023375876","2015"
"7","Pertamina","Pertamina Dex","958000","498745402","2015"
"7","Pertamina","Dexlite","0","0","2015"
"7","Pertamina","Pertamax Racing","8000","15652175","2015"
"7","Pertamina","BBG","75614","486070263","2015"
"7","Total","Performance 92","584000","249017280","2015"
"7","Total","Performance 95","152000","71043584","2015"
"7","Total","Diesel","74626","37005357","2015"
"8","Pertamina","Bio Solar","0","0","2015"
"8","Pertamina","Solar","75600185","24023461006","2015"
"8","Pertamina","Premium","149929500","48390699491","2015"
"8","Pertamina","Pertalite","8352000","3050295566","2015"
"8","Pertamina","Pertamax","34875000","14121223062","2015"
"8","Pertamina","Pertamax Plus","2728000","1226167713","2015"
"8","Pertamina","Pertamina Dex","1279600","627380174","2015"
"8","Pertamina","Dexlite","0","0","2015"
"8","Pertamina","Pertamax Racing","0","0","2015"
"8","Pertamina","BBG","90737","504306081","2015"
"8","Total","Performance 92","640000","268112872","2015"
"8","Total","Performance 95","136000","63788788","2015"
"8","Total","Diesel","72000","36104792","2015"
"9","Pertamina","Bio Solar","12880000","3865982610","2015"
"9","Pertamina","Solar","55721934","17763143148","2015"
"9","Pertamina","Premium","142367700","45969683048","2015"
"1","Pertamina","Bio Solar","42407041","10525855948","2016"
"1","Pertamina","Solar","23003789","6199987321","2016"
"1","Pertamina","Premium","134009663","41428120949","2016"
"1","Pertamina","Pertalite","15232000","5229147971","2016"
"1","Pertamina","Pertamax","34835000","12816101073","2016"
"1","Pertamina","Pertamax Plus","3304000","1346253269","2016"
"1","Pertamina","Pertamina Dex","1466000","604557900","2016"
"1","Pertamina","Dexlite","0","0","2016"
"1","Pertamina","Pertamax Racing","16000","26086956","2016"
"1","Pertamina","BBG","63369","542342731","2016"
"1","Pertamina","Pertamax Turbo","0","0","2016"
"1","Total","Performance 92","872000","321567076","2016"
"1","Total","Performance 95","0","66572896","2016"
"1","Total","Diesel","96000","39633132","2016"
"1","Shell","Diesel","1933637","785990061","2016"
"1","Shell","Super","19448864","7082274548","2016"
"1","Shell","Vpower","6805287","2756463358","2016"
"2","Pertamina","Bio Solar","44608462","10958163897","2016"
"2","Pertamina","Solar","15558565","3986308284","2016"
"2","Pertamina","Premium","125012500","38359113479","2016"
"2","Pertamina","Pertalite","15224000","5048625951","2016"
"2","Pertamina","Pertamax","33697000","11982476159","2016"
"2","Pertamina","Pertamax Plus","3000000","1180366126","2016"
"2","Pertamina","Pertamina Dex","1573000","598926776","2016"
"2","Pertamina","Dexlite","0","0","2016"
"2","Pertamina","Pertamax Racing","0","0","2016"
"2","Pertamina","BBG","98299","487312410","2016"
"2","Pertamina","Pertamax Turbo","0","0","2016"
"2","Total","Performance 92","898460","318362991","2016"
"2","Total","Performance 95","160000","82519977","2016"
"2","Total","Diesel","79747","24774235","2016"
"2","Shell","Diesel","1876475","712462630","2016"
"2","Shell","Super","18892001","6672397552","2016"
"2","Shell","Vpower","6617337","2599778052","2016"
"3","Pertamina","Bio Solar","46133008","11333165792","2016"
"3","Pertamina","Solar","17444310","4696087876","2016"
"3","Pertamina","Premium","125980065","38660431746","2016"
"3","Pertamina","Pertalite","20712000","6635130249","2016"
"3","Pertamina","Pertamax","39376950","13398003300","2016"
"3","Pertamina","Pertamax Plus","3576000","1356921786","2016"
"3","Pertamina","Pertamina Dex","2160860","808351884","2016"
"3","Pertamina","Dexlite","0","0","2016"
"3","Pertamina","Pertamax Racing","16000","25043478","2016"
"3","Pertamina","BBG","16000","409257608","2016"
"3","Pertamina","Pertamax Turbo","0","0","2016"
"3","Total","Performance 92","1036452","355381643","2016"
"3","Total","Performance 95","209210","81201192","2016"
"3","Total","Diesel","117209","44383775","2016"
"3","Shell","Diesel","2007466","744632130","2016"
"3","Shell","Super","19611920","6687905869","2016"
"3","Shell","Vpower","7238196","2763745351","2016"
"4","Pertamina","Bio Solar","49905881","11174848524","2016"
"4","Pertamina","Solar","22420234","5999613963","2016"
"4","Pertamina","Premium","124888500","35673473510","2016"
"4","Pertamina","Pertalite","21560000","6655477705","2016"
"4","Pertamina","Pertamax","42605000","13984778587","2016"
"4","Pertamina","Pertamax Plus","3861000","1418426118","2016"
"4","Pertamina","Pertamina Dex","1911000","694451351","2016"
"4","Pertamina","Dexlite","224000","65739130","2016"
"4","Pertamina","Pertamax Racing","0","0","2016"
"4","Pertamina","BBG","74053","466756155","2016"
"4","Pertamina","Pertamax Turbo","0","0","2016"
"4","Total","Performance 92","1120000","371835188","2016"
"4","Total","Performance 95","210287","96278288","2016"
"4","Total","Diesel","104000","37467299","2016"
"4","Shell","Diesel","2149958","763671591","2016"
"4","Shell","Super","19029690","6312349563","2016"
"4","Shell","Vpower","8509133","3171315466","2016"
"5","Pertamina","Bio Solar","52039173","11652249204","2016"
"5","Pertamina","Solar","15056394","4124428700","2016"
"5","Pertamina","Premium","125000663","35743459719","2016"
"5","Pertamina","Pertalite","22600000","6866051918","2016"
"5","Pertamina","Pertamax","45172000","14608406723","2016"
"5","Pertamina","Pertamax Plus","3911000","1418482221","2016"
"5","Pertamina","Pertamina Dex","2216000","794788998","2016"
"5","Pertamina","Dexlite","372000","108234792","2016"
"5","Pertamina","Pertamax Racing","0","0","2016"
"5","Pertamina","BBG","74049","500992058","2016"
"5","Pertamina","Pertamax Turbo","0","0","2016"
"5","Total","Performance 92","1120000","367818620","2016"
"5","Total","Performance 95","256000","86850832","2016"
"5","Total","Diesel","96000","34382420","2016"
"5","Shell","Diesel","2241020","790033176","2016"
"5","Shell","Super","19322920","6357588623","2016"
"5","Shell","Vpower","8292716","3085503307","2016"
"6","Pertamina","Bio Solar","51419741","11513904082","2016"
"6","Pertamina","Solar","20950591","6275823000","2016"
"6","Pertamina","Premium","116686335","33412163939","2016"
"6","Pertamina","Pertalite","23360000","7008000000","2016"
"6","Pertamina","Pertamax","46600150","14890840327","2016"
"6","Pertamina","Pertamax Plus","4255000","1526249938","2016"
"6","Pertamina","Pertamina Dex","2378760","850194533","2016"
"6","Pertamina","Dexlite","444000","128373932","2016"
"6","Pertamina","Pertamax Racing","0","0","2016"
"6","Pertamina","BBG","38684","511272825","2016"
"6","Pertamina","Pertamax Turbo","0","0","2016"
"6","Total","Performance 92","1216000","397126844","2016"
"6","Total","Performance 95","232000","98678144","2016"
"6","Total","Diesel","112000","40139776","2016"
"6","Shell","Diesel","2164426","773502859","2016"
"6","Shell","Super","18351073","6165569142","2016"
"6","Shell","Vpower","7494261","2858089406","2016"
"7","Pertamina","Bio Solar","40268874","9017047952","2016"
"7","Pertamina","Solar","15847221","4527946583","2016"
"7","Pertamina","Premium","102462163","29251060722","2016"
"7","Pertamina","Pertalite","22992000","6897600000","2016"
"7","Pertamina","Pertamax","44156750","14110606896","2016"
"7","Pertamina","Pertamax Plus","3532000","1266912995","2016"
"7","Pertamina","Pertamina Dex","1943000","693453831","2016"
"7","Pertamina","Dexlite","316000","91365233","2016"
"7","Pertamina","Pertamax Racing","16000","26434782","2016"
"7","Pertamina","BBG","83176","489256642","2016"
"7","Pertamina","Pertamax Turbo","0","0","2016"
"7","Total","Performance 92","1072000","350877004","2016"
"7","Total","Performance 95","264000","84037328","2016"
"7","Total","Diesel","80000","29043880","2016"
"7","Shell","Diesel","1813478","647626198","2016"
"7","Shell","Super","16287451","5467872338","2016"
"7","Shell","Vpower","6640260","2530581647","2016"
"8","Pertamina","Bio Solar","50587759","11328316315","2016"
"8","Pertamina","Solar","17540481","5005188385","2016"
"8","Pertamina","Premium","108294500","30892258308","2016"
"9","Pertamina","Pertalite","13188000","4759147225","2015"
"9","Pertamina","Pertamax","33112850","12957202719","2015"
"9","Pertamina","Pertamax Plus","2780000","1208506947","2015"
"9","Pertamina","Pertamina Dex","1701155","794143846","2015"
"9","Pertamina","Dexlite","0","0","2015"
"9","Pertamina","Pertamax Racing","16000","27826088","2015"
"9","Pertamina","BBG","98299","605190577","2015"
"9","Total","Performance 92","760000","301254720","2015"
"9","Total","Performance 95","160000","72016076","2015"
"9","Total","Diesel","80000","38172578","2015"
"10","Pertamina","Bio Solar","50229644","14761260237","2015"
"10","Pertamina","Solar","18268337","6072704836","2015"
"10","Pertamina","Premium","145564913","46987452547","2015"
"10","Pertamina","Pertalite","14588000","5264364517","2015"
"10","Pertamina","Pertamax","34456000","13360422124","2015"
"10","Pertamina","Pertamax Plus","2876000","1236377478","2015"
"10","Pertamina","Pertamina Dex","1401000","623521016","2015"
"10","Pertamina","Dexlite","0","0","2015"
"10","Pertamina","Pertamax Racing","0","0","2015"
"10","Pertamina","BBG","117202","543668800","2015"
"10","Total","Performance 92","832000","327524456","2015"
"10","Total","Performance 95","176000","79198240","2015"
"10","Total","Diesel","88000","40827305","2015"
"11","Pertamina","Bio Solar","52059415","15165803427","2015"
"11","Pertamina","Solar","14461965","4946805898","2015"
"11","Pertamina","Premium","138757000","44791810934","2015"
"11","Pertamina","Pertalite","14404000","5197964500","2015"
"11","Pertamina","Pertamax","33758000","12932934655","2015"
"11","Pertamina","Pertamax Plus","2912000","1238506040","2015"
"11","Pertamina","Pertamina Dex","1486000","654533764","2015"
"11","Pertamina","Dexlite","0","0","2015"
"11","Pertamina","Pertamax Racing","320","820870","2015"
"11","Pertamina","BBG","66491","549872219","2015"
"11","Total","Performance 92","832000","321826888","2015"
"11","Total","Performance 95","136000","60144268","2015"
"11","Total","Diesel","80000","34198534","2015"
"12","Pertamina","Bio Solar","46527493","13553661844","2015"
"12","Pertamina","Solar","22085891","7303272334","2015"
"12","Pertamina","Premium","140284875","45267900871","2015"
"12","Pertamina","Pertalite","15264000","5486321305","2015"
"12","Pertamina","Pertamax","35681650","13467771060","2015"
"12","Pertamina","Pertamax Plus","3392000","1428385844","2015"
"12","Pertamina","Pertamina Dex","1659870","714121321","2015"
"12","Pertamina","Dexlite","0","0","2015"
"12","Pertamina","Pertamax Racing","1000","2456522","2015"
"12","Pertamina","BBG","66491","522521962","2015"
"12","Total","Performance 92","808000","307719640","2015"
"12","Total","Performance 95","184000","80281420","2015"
"12","Total","Diesel","80000","34331008","2015"
